time,altitude,velocity
758.000000,1838.770698,1.474960
759.000000,1842.721361,1.473372
760.000000,1846.673622,1.471786
761.000000,1850.627471,1.470204
762.000000,1854.582897,1.468624
763.000000,1858.539891,1.467047
764.000000,1862.498442,1.465473
765.000000,1866.458540,1.463902
766.000000,1870.420175,1.462333
767.000000,1874.383336,1.460767
768.000000,1878.348015,1.459204
769.000000,1882.314200,1.457644
770.000000,1886.281881,1.456086
771.000000,1890.251049,1.454531
772.000000,1894.221693,1.452979
773.000000,1898.193803,1.451429
774.000000,1902.167370,1.449882
775.000000,1906.142382,1.448338
776.000000,1910.118831,1.446797
777.000000,1914.096705,1.445258
778.000000,1918.075996,1.443722
779.000000,1922.056692,1.442188
780.000000,1926.038784,1.440658
781.000000,1930.022263,1.439130
782.000000,1934.007117,1.437604
783.000000,1937.993337,1.436081
784.000000,1941.980912,1.434561
785.000000,1945.969834,1.433044
786.000000,1949.960092,1.431529
787.000000,1953.951676,1.430017
788.000000,1957.944575,1.428507
789.000000,1961.938781,1.427000
790.000000,1965.934283,1.425496
791.000000,1969.931072,1.423994
792.000000,1973.929137,1.422495
793.000000,1977.928468,1.420999
794.000000,1981.929056,1.419505
795.000000,1985.930890,1.418014
796.000000,1989.933961,1.416525
797.000000,1993.938260,1.415039
798.000000,1997.943775,1.413555
799.000000,2001.950498,1.412074
800.000000,2005.958418,1.410596
801.000000,2009.967526,1.409120
802.000000,2013.977811,1.407647
803.000000,2017.989265,1.406176
804.000000,2022.001876,1.404708
805.000000,2026.015636,1.403242
806.000000,2030.030535,1.401779
807.000000,2034.046562,1.400318
808.000000,2038.063709,1.398860
809.000000,2042.081965,1.397405
810.000000,2046.101320,1.395952
811.000000,2050.121766,1.394501
812.000000,2054.143291,1.393053
813.000000,2058.165887,1.391608
814.000000,2062.189544,1.390164
815.000000,2066.214252,1.388724
816.000000,2070.240001,1.387286
817.000000,2074.266782,1.385850
818.000000,2078.294585,1.384417
819.000000,2082.323401,1.382986
820.000000,2086.353219,1.381558
821.000000,2090.384031,1.380132
822.000000,2094.415826,1.378709
823.000000,2098.448595,1.377288
824.000000,2102.482328,1.375870
825.000000,2106.517016,1.374454
826.000000,2110.552649,1.373040
827.000000,2114.589218,1.371629
828.000000,2118.626713,1.370221
829.000000,2122.665124,1.368814
830.000000,2126.704443,1.367410
831.000000,2130.744659,1.366009
832.000000,2134.785763,1.364610
833.000000,2138.827745,1.363213
834.000000,2142.870596,1.361819
835.000000,2146.914307,1.360427
836.000000,2150.958868,1.359037
837.000000,2155.004270,1.357650
838.000000,2159.050502,1.356266
